sub trial_no group_type block_type prime target mask1 mask2 congruency key_press key_error time_error RT
16 62 LeftSmaller PercIExp Prime_4N Target_1N fFcEkAJ ceJhldC Congruent left correct Normal 557
16 63 LeftSmaller PercIExp Prime_6A Target_4N mMbidhK iegBhKJ Incongruent left error Normal 260
16 64 LeftSmaller PercIExp Prime_6N Target_6A gMJIhmK MAKBcFb Congruent right correct Normal 166
16 65 LeftSmaller PercIExp Prime_6N Target_6N GBLMbfK kFbKcGf Congruent right correct Normal 366
16 66 LeftSmaller PercIExp Prime_9N Target_9A DjbLKCE jIHBekF Congruent right correct Normal 263
16 67 LeftSmaller PercIExp Prime_4A Target_6A HiACdhk hCmAFJf Incongruent left correct Normal 557
16 68 LeftSmaller PercIExp Prime_6N Target_4N LBcKMAb AIJFjdb Incongruent right correct Normal 269
16 69 LeftSmaller PercIExp Prime_4A Target_9A gChilFB gADFJCh Incongruent right error Normal 567
16 70 LeftSmaller PercIExp Prime_1A Target_9N EahjAJK cGjMDHd Incongruent left correct Normal 658
16 71 LeftSmaller PercIExp Prime_6A Target_6N JAHCFKI LgckMbI Congruent left error Normal 672
16 72 LeftSmaller PercIExp Prime_4A Target_1N IkLCjfF iLajFmI Congruent left correct Normal 941
16 73 LeftSmaller PercIExp Prime_4A Target_9N mfLCjHF HAkcejG Incongruent left correct Normal 694
16 74 LeftSmaller PercIExp Prime_4N Target_9A LkJFGbc MfEeAlb Incongruent right error Normal 508
16 75 LeftSmaller PercIExp Prime_4N Target_1A EmiGBAl ADbHdmE Congruent left correct Normal 641
16 76 LeftSmaller PercIExp Prime_9A Target_1A ChIHFbm BAhHIle Incongruent right correct Normal 658
16 77 LeftSmaller PercIExp Prime_9N Target_4N DgBLIlH agFhcfl Incongruent right correct Normal 425
16 78 LeftSmaller PercIExp Prime_1N Target_6A hgedkfb aJbCGed Incongruent left correct Normal 418
16 79 LeftSmaller PercIExp Prime_9N Target_9N MLhFfcK jHgiAaJ Congruent right correct Normal 282
16 80 LeftSmaller PercIExp Prime_4A Target_4A HEhLgFi CFljDhg Congruent right error Normal 213
16 81 LeftSmaller PercIExp Prime_4A Target_4A mGFlCgb gHMBbIL Congruent left correct Normal 660
16 82 LeftSmaller PercIExp Prime_6N Target_9A egcMIEa GmelAKf Congruent right correct Normal 493
16 83 LeftSmaller PercIExp Prime_1N Target_9A ibJDjAL kAlDgeH Incongruent right error Normal 548
16 84 LeftSmaller PercIExp Prime_9A Target_6A baCdAlE AfcLDCm Congruent right correct Normal 610
16 85 LeftSmaller PercIExp Prime_4N Target_9N GgEkLmA jaIefgE Incongruent left correct Normal 1106
16 86 LeftSmaller PercIExp Prime_6A Target_1A mDKMaJF jEealIg Incongruent left error Normal 695
16 87 LeftSmaller PercIExp Prime_6N Target_9N blKIBdL dmjhHaC Congruent right correct Normal 440
16 88 LeftSmaller PercIExp Prime_9N Target_1A mAIdBbC lGHELJc Incongruent left error Normal 535
16 89 LeftSmaller PercIExp Prime_1A Target_4N iCFJLIe BCMLamI Congruent left correct Normal 656
16 90 LeftSmaller PercIExp Prime_4A Target_1A HIkBmci JIHKfjM Congruent right error Normal 604
16 91 LeftSmaller PercIExp Prime_6N Target_4A kgLJEFm jIHDlJg Incongruent left error Normal 546
16 92 LeftSmaller PercIExp Prime_6N Target_6A JkMimDI DbFJIkL Congruent right correct Normal 722
16 93 LeftSmaller PercIExp Prime_1A Target_1N liaAIfk LEJGgla Congruent right error Normal 849
16 94 LeftSmaller PercIExp Prime_1A Target_6A AfdIGha KhejbIi Incongruent right error Normal 601
16 95 LeftSmaller PercIExp Prime_1N Target_4N DGbmhBd difFDlc Congruent left correct Normal 214
16 96 LeftSmaller PercIExp Prime_9A Target_1N hHmbIej imIfGEM Incongruent right correct Normal 688
16 97 LeftSmaller PercIExp Prime_6N Target_6N eFDEjka eckKbBA Congruent right correct Normal 1465
16 98 LeftSmaller PercIExp Prime_9A Target_9N emBfcAa eDmgIMC Congruent right correct Normal 696
16 99 LeftSmaller PercIExp Prime_6N Target_4N aFAmldD KLHdleJ Incongruent left error Normal 457
16 100 LeftSmaller PercIExp Prime_4A Target_6N gbdJcaG KkJEIjl Incongruent right error Normal 866
16 101 LeftSmaller PercIExp Prime_1N Target_1A IgLHCJf kdiFgEh Congruent left correct Normal 800
16 102 LeftSmaller PercIExp Prime_4N Target_9A aGicHIk FCfKAIl Incongruent right error Normal 656
16 103 LeftSmaller PercIExp Prime_1A Target_9N jeDilfc GEjhMFB Incongruent left correct Normal 401
16 104 LeftSmaller PercIExp Prime_1A Target_1A hagAlGJ dKFmkBg Congruent right error Normal 204
16 105 LeftSmaller PercIExp Prime_9A Target_6N ifdCJjL gaHEfBh Congruent right correct Early 99
16 106 LeftSmaller PercIExp Prime_6A Target_1N IaHkCjM MLfBbhe Incongruent left error Normal 257
16 107 LeftSmaller PercIExp Prime_4N Target_4N gAMEDKI iJkAjcm Congruent left correct Normal 424
16 108 LeftSmaller PercIExp Prime_6A Target_6A GBAJlah FKbJeCi Congruent right correct Normal 271
16 109 LeftSmaller PercIExp Prime_1N Target_9N lFAMedC AlFGjIg Incongruent right error Normal 453
16 110 LeftSmaller PercIExp Prime_9A Target_4A FLdfhKk fgcEmCk Incongruent left error Normal 201
16 111 LeftSmaller PercIExp Prime_9N Target_9A fhKClce bBmAGEF Congruent right correct Normal 394
16 112 LeftSmaller PercIExp Prime_4A Target_9A DdMjelf GcCBdHJ Incongruent left correct Normal 993
16 113 LeftSmaller PercIExp Prime_1N Target_6N dFIgCBG iLFkgcD Incongruent right error Normal 155
16 114 LeftSmaller PercIExp Prime_6N Target_1N iIEFAfb FkHKEJI Incongruent right correct Normal 280
16 115 LeftSmaller PercIExp Prime_9N Target_4N gAkLJdh jMeALBD Incongruent left error Normal 735
16 116 LeftSmaller PercIExp Prime_4N Target_6A GAcIeFC AjikGKM Incongruent right error Normal 749
16 117 LeftSmaller PercIExp Prime_6A Target_9N DghCIbk AfbdceG Congruent right correct Normal 620
16 118 LeftSmaller PercIExp Prime_4A Target_6A DkdfaFj baeJGAl Incongruent left correct Normal 457
16 119 LeftSmaller PercIExp Prime_6A Target_4A hCMDgBe AKILMdc Incongruent left error Normal 391
16 120 LeftSmaller PercIExp Prime_1A Target_9A HCkleAK bFacdHG Incongruent right error Normal 438
16 121 LeftSmaller PercIExp Prime_6N Target_1A jIFdamh JHGFhdL Incongruent left error Normal 600
16 122 LeftSmaller PercIExp Prime_9N Target_1N AeDaKMJ aLIgkcf Incongruent right correct Normal 693
16 123 LeftSmaller PercIExp Prime_6A Target_4N cFlGKbd eGaKjIb Incongruent left error Normal 296
16 124 LeftSmaller PercIExp Prime_1N Target_4A KjbEcfg bgjILKa Congruent left correct Normal 346
16 125 LeftSmaller PercIExp Prime_9N Target_6A ebKGJkC lCJAkmF Congruent left error Normal 260
16 126 LeftSmaller PercIExp Prime_9A Target_1A MJiLbCd HcIlKLh Incongruent right correct Normal 231
16 127 LeftSmaller PercIExp Prime_1N Target_6A ehgdFcj mCbGlfD Incongruent left correct Normal 627
16 128 LeftSmaller PercIExp Prime_9N Target_6N EdigaFH FHIlfbA Congruent right correct Normal 326
16 129 LeftSmaller PercIExp Prime_1A Target_4A LFmlEhM BiElGeK Congruent left correct Normal 585
16 130 LeftSmaller PercIExp Prime_4N Target_4A AmbBiKg IfDjkgF Congruent left correct Normal 273
16 131 LeftSmaller PercIExp Prime_4N Target_1N FlKEjaG HLkKmgI Congruent right error Normal 167
16 132 LeftSmaller PercIExp Prime_9N Target_4A elICfJi HIKmDjB Incongruent right correct Normal 678
16 133 LeftSmaller PercIExp Prime_1N Target_1N IldKcHC ckFCldK Congruent right error Normal 655
16 134 LeftSmaller PercIExp Prime_9N Target_9N GFChBjE fEHlKJA Congruent left error Normal 377
16 135 LeftSmaller PercIExp Prime_4A Target_1N CKImbAh KkiFEHL Congruent left correct Normal 918
16 136 LeftSmaller PercIExp Prime_6A Target_9A jCedMHi cLDBejH Congruent right correct Normal 497
16 137 LeftSmaller PercIExp Prime_4A Target_4N LEdgFIf EIBKcHd Congruent left correct Normal 905
16 138 LeftSmaller PercIExp Prime_1A Target_6N KMdkcGe haMjdBE Incongruent right error Normal 782
16 139 LeftSmaller PercIExp Prime_4N Target_1A HKjDeAI FmJCDkE Congruent left correct Normal 503
16 140 LeftSmaller PercIExp Prime_9A Target_9A CifELKM CjBEdaD Congruent right correct Normal 252
16 141 LeftSmaller PercIExp Prime_6A Target_6N BGdeJDA kCgHbFM Congruent right correct Normal 853
16 142 LeftSmaller PercIExp Prime_9A Target_4N JkgmALl mjgDIaM Incongruent right correct Normal 393
16 143 LeftSmaller PercIExp Prime_4A Target_9N DMJCBcm cJImeFB Incongruent right error Normal 155
16 144 LeftSmaller PercIExp Prime_4N Target_6N JGdLkhc gCLFDJG Incongruent left correct Normal 146
16 145 LeftSmaller PercIExp Prime_6N Target_4A kILGMAe iLbgIKc Incongruent left error Normal 863
16 146 LeftSmaller PercIExp Prime_9N Target_6A jGJFdAI mEakFBi Congruent right correct Normal 1356
16 147 LeftSmaller PercIExp Prime_6A Target_6A aHmAfjF DEIgbde Congruent left error Normal 813
16 148 LeftSmaller PercIExp Prime_4A Target_4A DkMlJBm GMKfDla Congruent right error Normal 145
16 149 LeftSmaller PercIExp Prime_6N Target_1N afJjKkm AmGiJfK Incongruent right correct Normal 156
16 150 LeftSmaller PercIExp Prime_1A Target_9A KglDfcC jadbgJl Incongruent left correct Normal 180
16 151 LeftSmaller PercIExp Prime_6A Target_1A kCdDFlL ieGBELH Incongruent left error Normal 192
16 152 LeftSmaller PercIExp Prime_4A Target_4N MDkGEeg DbLEgiM Congruent left correct Normal 338
16 153 LeftSmaller PercIExp Prime_4N Target_4A MJdibDE jMKFGJi Congruent right error Normal 376
16 154 LeftSmaller PercIExp Prime_6A Target_6N GldAgbf gFkeBjI Congruent right correct Normal 153
16 155 LeftSmaller PercIExp Prime_6N Target_1A DFgBmlA KFaAdgG Incongruent left error Normal 1099
16 156 LeftSmaller PercIExp Prime_1A Target_1N GDiHmhj clkLMDf Congruent right error Normal 1058
16 157 LeftSmaller PercIExp Prime_1N Target_9A JcaKGIj kDlfaIH Incongruent right error Normal 1098
16 158 LeftSmaller PercIExp Prime_1N Target_9N MJEiAGh MDdGKgH Incongruent left correct Normal 876
16 159 LeftSmaller PercIExp Prime_4N Target_6A KdkhDFJ bEHMFhG Incongruent right error Normal 793
16 160 LeftSmaller PercIExp Prime_1A Target_4N CJBflek HkGJLeE Congruent left correct Normal 396
16 161 LeftSmaller PercIExp Prime_6N Target_4N CdlAicG fKaELMm Incongruent right correct Normal 348
16 162 LeftSmaller PercIExp Prime_6N Target_6A ImfKGhL CdJleKk Congruent left error Normal 101
16 163 LeftSmaller PercIExp Prime_1A Target_1A FfBldCI DIMiehG Congruent right error Normal 161
16 164 LeftSmaller PercIExp Prime_9N Target_4A IjDlFfC JhEKeGH Incongruent left error Normal 832
16 165 LeftSmaller PercIExp Prime_6N Target_6N dKeLBmj EebGlJk Congruent left error Normal 958
16 166 LeftSmaller PercIExp Prime_9A Target_1A DieAbmk ajLiMIm Incongruent right correct Normal 822
16 167 LeftSmaller PercIExp Prime_9A Target_6N JladbFi fHKgiFD Congruent right correct Normal 507
16 168 LeftSmaller PercIExp Prime_1A Target_4A CmFcHif MCjALdf Congruent right error Normal 103
16 169 LeftSmaller PercIExp Prime_4N Target_1N dGLFBaf BLmeJHD Congruent left correct Normal 260
16 170 LeftSmaller PercIExp Prime_9A Target_6A ehCmBaE gjGDiLd Congruent right correct Normal 221
16 171 LeftSmaller PercIExp Prime_4N Target_1A FbjAHBf fHMgjCI Congruent left correct Normal 245
16 172 LeftSmaller PercIExp Prime_4A Target_6A DFaKeMc lkEiDHC Incongruent right error Normal 106
16 173 LeftSmaller PercIExp Prime_9A Target_1N BLJiGhb gCcFAJh Incongruent left error Early 69
16 174 LeftSmaller PercIExp Prime_9N Target_1N CGihMLK kidGKJb Incongruent right correct Early 73
16 175 LeftSmaller PercIExp Prime_9A Target_9N jICLgEi beKckHD Congruent right correct Early 40
16 176 LeftSmaller PercIExp Prime_9N Target_4N DjIbkgG iCDgehk Incongruent left error Early 58
16 177 LeftSmaller PercIExp Prime_1N Target_4N MildHAh BiealFK Congruent left correct Normal 104
16 178 LeftSmaller PercIExp Prime_4N Target_6N IhGbaCA lKgieHF Incongruent right error Normal 4651
16 179 LeftSmaller PercIExp Prime_9A Target_4N HgabFfk ECMjhdk Incongruent left error Normal 408
16 180 LeftSmaller PercIExp Prime_4N Target_9A gcABfEd CAEKihf Incongruent left correct Normal 141
16 181 LeftSmaller PercIExp Prime_4A Target_1N mJjlBaI ALGhfjK Congruent right error Normal 777
16 182 LeftSmaller PercIExp Prime_6A Target_4A BiDcldE kaImAed Incongruent left error Normal 579
16 183 LeftSmaller PercIExp Prime_9N Target_9N bFckmdB eIbMdAh Congruent right correct Normal 490
16 184 LeftSmaller PercIExp Prime_9A Target_4A FAhimjg ejaclGd Incongruent left error Normal 893
16 185 LeftSmaller PercIExp Prime_9N Target_6N BbjCHlD lkCgcDJ Congruent right correct Normal 1180
16 186 LeftSmaller PercIExp Prime_1A Target_6A eagEjlL Fickmjb Incongruent left correct Normal 499
16 187 LeftSmaller PercIExp Prime_4A Target_6N JhEIgkd dbjilcM Incongruent right error Normal 243
16 188 LeftSmaller PercIExp Prime_1N Target_1N cFaEljI hBEgeHi Congruent right error Normal 202
16 189 LeftSmaller PercIExp Prime_6A Target_1N AfEiLcJ fkhBDlA Incongruent right correct Normal 789
16 190 LeftSmaller PercIExp Prime_6N Target_9N bLDJIAg GILBfCj Congruent left error Normal 334
16 191 LeftSmaller PercIExp Prime_6A Target_9N lMaKICH cgFiDLC Congruent right correct Normal 819
16 192 LeftSmaller PercIExp Prime_4A Target_1A AJlMEKH DdGfMiK Congruent left correct Normal 707
16 193 LeftSmaller PercIExp Prime_9N Target_1A MjAHkmh KfdkmCi Incongruent right correct Normal 791
16 194 LeftSmaller PercIExp Prime_6N Target_9A kCjcFmE BdbaIJc Congruent right correct Normal 963
16 195 LeftSmaller PercIExp Prime_6A Target_4N FBfAeHK DlhfAeK Incongruent left error Normal 1134
16 196 LeftSmaller PercIExp Prime_1N Target_6N JmhdejK gMdDFIe Incongruent left correct Normal 1333
16 197 LeftSmaller PercIExp Prime_1A Target_6N ahikmLJ IafiJBd Incongruent right error Normal 765
16 198 LeftSmaller PercIExp Prime_1A Target_9N JFDjLBa bjlAIka Incongruent left correct Normal 805
16 199 LeftSmaller PercIExp Prime_4N Target_9N dFIjEcA EmfhliB Incongruent right error Normal 999
16 200 LeftSmaller PercIExp Prime_4A Target_9N LhiAJHf KMBaAfe Incongruent right error Normal 911
16 201 LeftSmaller PercIExp Prime_9N Target_9A jGIFDHf LiCgGBb Congruent right correct Normal 897
16 202 LeftSmaller PercIExp Prime_4N Target_4N caMAkKg ELKhbId Congruent left correct Normal 736
16 203 LeftSmaller PercIExp Prime_1N Target_4A EHhAgDe DeBafKI Congruent left correct Normal 1004
16 204 LeftSmaller PercIExp Prime_4A Target_9A ladmeIF HheAakM Incongruent right error Normal 488
16 205 LeftSmaller PercIExp Prime_6A Target_9A efhkMHA ijMkEgI Congruent left error Normal 211
16 206 LeftSmaller PercIExp Prime_1N Target_6A fLgmGkM FkdKfIJ Incongruent left correct Normal 313
16 207 LeftSmaller PercIExp Prime_9A Target_9A MJeGALE mMLHelI Congruent right correct Normal 484
16 208 LeftSmaller PercIExp Prime_1N Target_1A hajJAcm BMdGmeC Congruent right error Normal 268
16 209 LeftSmaller PercIExp Prime_4N Target_6A mHgkLiJ dKEjmLf Incongruent left correct Normal 1110
16 210 LeftSmaller PercIExp Prime_1N Target_1N ADdkKFb ElGjhJA Congruent right error Normal 795
16 211 LeftSmaller PercIExp Prime_1A Target_9N jMhdCbG DLbeJjl Incongruent right error Normal 727
16 212 LeftSmaller PercIExp Prime_9N Target_1N fdCGMHj IDMAfkl Incongruent right correct Normal 840
16 213 LeftSmaller PercIExp Prime_9A Target_1A cCmDAEF JDmiMjg Incongruent left error Normal 1589
16 214 LeftSmaller PercIExp Prime_1N Target_4A dcgaiHh cMJfCbI Congruent right error Normal 1263
16 215 LeftSmaller PercIExp Prime_9A Target_6A FeiEcmC cDjafbh Congruent right correct Normal 1415
16 216 LeftSmaller PercIExp Prime_4A Target_9A eKfGkCF CMbhced Incongruent left correct Normal 685
16 217 LeftSmaller PercIExp Prime_6N Target_6A KMbJeEk dlifkgK Congruent right correct Normal 848
16 218 LeftSmaller PercIExp Prime_9N Target_9A IdEeHml ficIkBH Congruent right correct Normal 577
16 219 LeftSmaller PercIExp Prime_6A Target_6A KfFhDAm GLBgEJa Congruent right correct Normal 1166
16 220 LeftSmaller PercIExp Prime_4A Target_6A GifkDjg lgHFcda Incongruent left correct Normal 531
16 221 LeftSmaller PercIExp Prime_4N Target_1N FAiBIaG KFGckAb Congruent left correct Normal 808
16 222 LeftSmaller PercIExp Prime_9N Target_4N bBFChJA iKlHaIL Incongruent left error Normal 1780
16 223 LeftSmaller PercIExp Prime_1N Target_1A McDbmgH LlIEKJG Congruent right error Normal 794
16 224 LeftSmaller PercIExp Prime_9A Target_4A dbfjLDi AcEMGgk Incongruent left error Normal 987
16 225 LeftSmaller PercIExp Prime_6A Target_9A hCKEilb IHclFCk Congruent right correct Normal 554
16 226 LeftSmaller PercIExp Prime_1A Target_6N DBikhCc bLDjBaH Incongruent right error Normal 1054
16 227 LeftSmaller PercIExp Prime_4A Target_4A ledJmFC GmhHEbA Congruent left correct Normal 620
16 228 LeftSmaller PercIExp Prime_1A Target_4A kClgjGM kHjfLAc Congruent left correct Normal 1188
16 229 LeftSmaller PercIExp Prime_4N Target_9A dgAIjCB HmfhIEB Incongruent right error Normal 687
16 230 LeftSmaller PercIExp Prime_6A Target_6N DghEIac GgFebIK Congruent right correct Normal 880
16 231 LeftSmaller PercIExp Prime_6A Target_1A kaDjMif lGehIKF Incongruent left error Normal 1007
16 232 LeftSmaller PercIExp Prime_6N Target_6N cMLdmBD LmDjkch Congruent right correct Normal 905
16 233 LeftSmaller PercIExp Prime_9A Target_6N lGDkdjC eiGIKjc Congruent right correct Normal 846
16 234 LeftSmaller PercIExp Prime_1N Target_6N JcDhieB BidmKjG Incongruent left correct Normal 790
16 235 LeftSmaller PercIExp Prime_9N Target_9N EgIcjbH LjdmKGB Congruent right correct Normal 512
16 236 LeftSmaller PercIExp Prime_1A Target_1N BcCmiMf ahleBCf Congruent left correct Normal 540
16 237 LeftSmaller PercIExp Prime_6A Target_4N FMEGkjc kFIBgAf Incongruent right correct Normal 1237
16 238 LeftSmaller PercIExp Prime_9A Target_9N HdmkELM aEehgCi Congruent right correct Normal 1276
16 239 LeftSmaller PercIExp Prime_9A Target_1N DmKdaLi GMDHijb Incongruent left error Normal 816
16 240 LeftSmaller PercIExp Prime_6N Target_4N BLfgCdc CHBhbIe Incongruent right correct Normal 770
16 241 LeftSmaller PercIExp Prime_9A Target_9A cMJfKgD gEbIFGC Congruent right correct Normal 442
16 242 LeftSmaller PercIExp Prime_6N Target_4A ClimIHB EiGJlBI Incongruent right correct Normal 1012
16 243 LeftSmaller PercIExp Prime_6A Target_1N kaIAEFj lHhkiEm Incongruent left error Normal 559
16 244 LeftSmaller PercIExp Prime_1N Target_9N fIlKJka bMgeDGH Incongruent right error Normal 748
16 245 LeftSmaller PercIExp Prime_9N Target_1A AIEglaC bfEaGed Incongruent left error Normal 1687
16 246 LeftSmaller PercIExp Prime_9N Target_4A FaiKfHl cGfelHE Incongruent right correct Normal 601
16 247 LeftSmaller PercIExp Prime_4A Target_6N fmCLJEK JhejdCb Incongruent right error Normal 542
16 248 LeftSmaller PercIExp Prime_4N Target_4N bBFjIJd jKDadcl Congruent left correct Normal 410
16 249 LeftSmaller PercIExp Prime_1N Target_9A ibJdFHa abmhGkJ Incongruent right error Normal 902
16 250 LeftSmaller PercIExp Prime_1A Target_9A LKMehHI lJkcaCG Incongruent left correct Normal 425
16 251 LeftSmaller PercIExp Prime_1A Target_6A MFfCmcj fBhbKFD Incongruent right error Normal 202
16 252 LeftSmaller PercIExp Prime_6N Target_1A FKbIkHi HMbKGBh Incongruent right correct Normal 150
16 253 LeftSmaller PercIExp Prime_9N Target_6N CkbcBFI fLMChce Congruent left error Normal 299
16 254 LeftSmaller PercIExp Prime_4N Target_1A jMemCAa fGBbEej Congruent right error Normal 105
16 255 LeftSmaller PercIExp Prime_4N Target_6N HjdEifG MLdlJkc Incongruent right error Normal 108
16 256 LeftSmaller PercIExp Prime_1N Target_6A kjLHlEa jMcCaDG Incongruent right error Early 58
16 257 LeftSmaller PercIExp Prime_6A Target_9N cjiDGFL CjDFLJb Congruent left error Normal 184
16 258 LeftSmaller PercIExp Prime_6N Target_9A gCGbEaJ iBdCecM Congruent left error Normal 289
16 259 LeftSmaller PercIExp Prime_9N Target_6A lLFECcB hHmdMiF Congruent right correct Normal 731
16 260 LeftSmaller PercIExp Prime_1A Target_1A fKiGAHc GgjBami Congruent right error Normal 837
16 261 LeftSmaller PercIExp Prime_4N Target_4A LlIEKAe hKHfGBi Congruent left correct Normal 587
16 262 LeftSmaller PercIExp Prime_4A Target_9N edBfjIJ iKfaDcE Incongruent right error Normal 1462
16 263 LeftSmaller PercIExp Prime_6A Target_4A fHKeJlE gBclbjA Incongruent right correct Normal 960
16 264 LeftSmaller PercIExp Prime_4A Target_1N IGJDekf hkbigLc Congruent left correct Normal 939
16 265 LeftSmaller PercIExp Prime_4N Target_9N BCmjHcb jABiGEh Incongruent right error Normal 1179
16 266 LeftSmaller PercIExp Prime_1N Target_4N HbMKLmf lMGckmB Congruent left correct Normal 1145
16 267 LeftSmaller PercIExp Prime_6N Target_9N kJHbMDG FhfjKBE Congruent right correct Normal 1155
16 268 LeftSmaller PercIExp Prime_1A Target_4N kJgabGM MeCbAga Congruent left correct Normal 1088
16 269 LeftSmaller PercIExp Prime_4A Target_4N IdghGlA eIhbBdL Congruent left correct Normal 908
16 270 LeftSmaller PercIExp Prime_4A Target_1A iAFKcfL JMFKelD Congruent left correct Normal 1102
16 271 LeftSmaller PercIExp Prime_9A Target_4N JEmhCAl ELhdjlM Incongruent right correct Normal 1009
16 272 LeftSmaller PercIExp Prime_6N Target_1N JgdmBAe lFGdcfE Incongruent left error Normal 361
17 17 LeftLarger PercIExp Prime_9A Target_1N BhjfEmJ kedEHMh Incongruent left correct Normal 3424
17 18 LeftLarger PercIExp Prime_4A Target_4A EFjkmcL mFCGBkK Congruent right correct Normal 2443
17 19 LeftLarger PercIExp Prime_9A Target_1A CLbjfkB lIgDbhF Incongruent left correct Normal 2650
17 20 LeftLarger PercIExp Prime_4N Target_1A egiLBJk aEjJAel Congruent left error Normal 2390
17 21 LeftLarger PercIExp Prime_4N Target_9N LIHMgBe GKcjIJd Incongruent right correct Normal 2757
